FREQ;Frequenza;REF_AREA;Territorio;DATA_TYPE;Indicatore;SEX;Sesso;AGE;Età;MARITAL_STATUS;Stato civile;TIME_PERIOD;Osservazione;OBS_STATUS;stato_osservazione
A;Annuale;4020;Benevello;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2021;483;;
A;Annuale;4020;Benevello;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2022;467;;
A;Annuale;4020;Benevello;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2023;470;;
A;Annuale;4020;Benevello;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2024;453;;
A;Annuale;4020;Benevello;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2025;448;;
A;Annuale;4020;Benevello;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2026;457;e;Dato stimato
A;Annuale;4021;Bergolo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2019;56;;
A;Annuale;4021;Bergolo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2020;56;;
A;Annuale;4021;Bergolo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2021;54;;
A;Annuale;4021;Bergolo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2022;55;;
A;Annuale;4021;Bergolo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2023;56;;
A;Annuale;4021;Bergolo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2024;53;;
A;Annuale;4021;Bergolo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2025;52;;
A;Annuale;4021;Bergolo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2026;51;e;Dato stimato
A;Annuale;4022;Bernezzo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2019;4169;;
A;Annuale;4022;Bernezzo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2020;4188;;
A;Annuale;4022;Bernezzo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2021;4207;;
A;Annuale;4022;Bernezzo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2022;4219;;
A;Annuale;4022;Bernezzo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2023;4220;;
A;Annuale;4022;Bernezzo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2024;4244;;
A;Annuale;4022;Bernezzo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2025;4269;;
A;Annuale;4022;Bernezzo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2026;4276;e;Dato stimato
A;Annuale;4023;Bonvicino;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2019;99;;
A;Annuale;4023;Bonvicino;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2020;100;;
A;Annuale;4023;Bonvicino;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2021;96;;
A;Annuale;4023;Bonvicino;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2022;100;;
A;Annuale;4023;Bonvicino;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2023;97;;
A;Annuale;4023;Bonvicino;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2024;98;;
A;Annuale;4023;Bonvicino;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2025;100;;
A;Annuale;4023;Bonvicino;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2026;102;e;Dato stimato
A;Annuale;4025;Borgo San Dalmazzo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2019;12488;;
A;Annuale;4025;Borgo San Dalmazzo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2020;12417;;
A;Annuale;4025;Borgo San Dalmazzo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2021;12439;;
A;Annuale;4025;Borgo San Dalmazzo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2022;12477;;
A;Annuale;4025;Borgo San Dalmazzo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2023;12528;;
A;Annuale;4025;Borgo San Dalmazzo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2024;12563;;
A;Annuale;4025;Borgo San Dalmazzo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2025;12517;;
A;Annuale;4025;Borgo San Dalmazzo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2026;12618;e;Dato stimato
A;Annuale;4024;Borgomale;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2019;384;;
A;Annuale;4024;Borgomale;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2020;377;;
A;Annuale;4024;Borgomale;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2021;385;;
A;Annuale;4024;Borgomale;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2022;386;;
A;Annuale;4024;Borgomale;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2023;375;;
A;Annuale;4024;Borgomale;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2024;369;;
